publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id
Comprehensive Therapy	0098-8243	1559-1190	1999-01	25	1	2007-12	33	4	http://link.springer.com/journal/12019		12019		fulltext		Humana Press Inc	Serial							
Computational Astrophysics and Cosmology		2197-7909	2014-09	1	1	2015-11	2	1	http://link.springer.com/journal/40668		40668		fulltext		Springer International Publishing	Serial							
Computational Cognitive Science		2195-3961	2015-06	1	1	2015-09	1	1	http://link.springer.com/journal/40469		40469		fulltext		Springer Singapore	Serial							
Computational Geosciences	1420-0597	1573-1499	1997-04	1	1	2015-12	19	5	http://link.springer.com/journal/10596		10596		fulltext		Springer International Publishing	Serial							
Computational Management Science	1619-697X	1619-6988	2003-12	1	1	2015-12	12	4	http://link.springer.com/journal/10287		10287		fulltext		Springer Berlin Heidelberg	Serial							
Computational Mathematics and Mathematical Physics	0965-5425	1555-6662	2006-01	46	1	2015-12	55	12	http://link.springer.com/journal/11470		11470		fulltext		Pleiades Publishing	Serial							
Computational Methods and Function Theory	1617-9447	2195-3724	2001-09	1	1	2015-12	15	4	http://link.springer.com/journal/40315		40315		fulltext		Springer Berlin Heidelberg	Serial							
Computational Particle Mechanics	2196-4378	2196-4386	2014-05	1	1	2015-12	2	4	http://link.springer.com/journal/40571		40571		fulltext		Springer International Publishing	Serial							
Computational Social Networks		2197-4314	2014-10	1	1	2015-12	2	1	http://link.springer.com/journal/40649		40649		fulltext		Springer International Publishing	Serial							
Computational Statistics	0943-4062	1613-9658	1999-03	14	1	2015-12	30	4	http://link.springer.com/journal/180		180		fulltext		Springer Berlin Heidelberg	Serial							
Computational Visual Media	2096-0433	2096-0662	2015-03	1	1	2015-12	1	3	http://link.springer.com/journal/41095		41095		fulltext		Springer Berlin Heidelberg	Serial							
Computational and Applied Mathematics	0101-8205	1807-0302	2013-04	32	1	2015-12	34	3	http://link.springer.com/journal/40314		40314		fulltext		Springer Basel	Serial							
Computing and Visualization in Science	1432-9360	1433-0369	1997-07	1	1	2015-12	17	2	http://link.springer.com/journal/791		791		fulltext		Springer Berlin Heidelberg	Serial							
Conflict and Health		1752-1505	2007-03	1	1	2015-12	9	1	http://link.springer.com/journal/13031		13031		fulltext		BioMed Central	Serial							
Conservation Genetics	1566-0621	1572-9737	2000-03	1	1	2015-12	16	6	http://link.springer.com/journal/10592		10592		fulltext		Springer Netherlands	Serial							
Conservation Genetics Resources	1877-7252	1877-7260	2009-12	1	1	2015-12	7	4	http://link.springer.com/journal/12686		12686		fulltext		Springer Netherlands	Serial							
Contemporary Islam	1872-0218	1872-0226	2007-06	1	1	2016-01	10	1	http://link.springer.com/journal/11562		11562		fulltext		Springer Netherlands	Serial							
Contemporary Problems of Ecology	1995-4255	1995-4263	2008-02	1	1	2015-11	8	6	http://link.springer.com/journal/12259		12259		fulltext		Pleiades Publishing	Serial							
Control Theory and Technology	2095-6983	2198-0942	2003-11	1	1	2015-11	13	4	http://link.springer.com/journal/11768		11768		fulltext		South China University of Technology and Academy of Mathematics and Systems Science, CAS	Serial							
Controlling & Management Review	2195-8262	2195-8270	2000-02	44	1	2015-12	59	7	http://link.springer.com/journal/12176		12176		fulltext		Springer Fachmedien Wiesbaden	Serial							
Cosmic Research	0010-9525	1608-3075	2000-11	38	6	2015-11	53	6	http://link.springer.com/journal/10604		10604		fulltext		Pleiades Publishing	Serial							
Cost Effectiveness and Resource Allocation		1478-7547	2003-02	1	1	2015-12	13	1	http://link.springer.com/journal/12962		12962		fulltext		BioMed Central	Serial							
Cough		1745-9974	2005-08	1	1	2014-12	10	1	http://link.springer.com/journal/12997		12997		fulltext		BioMed Central	Serial							
Crime Science		2193-7680	2012-06	1	1	2015-12	4	1	http://link.springer.com/journal/40163		40163		fulltext		Springer Berlin Heidelberg	Serial							
